question,date,yes_price,no_price
Will Trump Media invest in $TRUMP before March?,2025-02-28,0.0025,0.9975
Will Trump invite the Philadelphia Eagles to the White House?,2025-02-28,0.943,0.057
Will Trump Media invest in Ethereum before March?,2025-02-28,0.0085,0.9915
Will Donald Trump say Crypto or Bitcoin during his presser with Starmer on Feb 27?,2025-02-28,0.04,0.96
Will Trump meet with Zelenskyy before July?,2025-02-28,0.9865,0.0135
Will Donald Trump say Gold during his presser with Starmer on Feb 27?,2025-02-28,0.235,0.765
Will Trump Media invest in Solana before March?,2025-02-28,0.0005,0.9995
Will Trump Media invest in Bitcoin before March?,2025-02-28,0.0155,0.9845
Will Donald Trump say Pond during his presser with Starmer on Feb 27?,2025-02-28,0.195,0.805
Will Donald Trump sign 28-29 executive orders in February?,2025-02-28,0.01,0.99
Will Donald Trump say Climate during his presser with Starmer on Feb 27?,2025-02-28,0.24,0.76
Will Donald Trump sign 5-9 executive orders in March?,2025-02-28,0.07,0.93
Will Donald Trump say Tariff 5+ times during his presser with Starmer on Feb 27?,2025-02-28,0.21,0.79
Will Trump issue an executive order on February 27?,2025-02-28,0.05,0.95
Will Donald Trump sign 30-31 executive orders in February?,2025-02-28,0.62,0.38
Will Trump pass a border/immigration law in first 100 days?,2025-02-28,0.265,0.735
Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,2025-02-28,0.989,0.011
Will Trump issue an executive order on February 28?,2025-02-28,0.64,0.36
Will Donald Trump sign 32-33 executive orders in February?,2025-02-28,0.105,0.895
Will Trump meet with Keir Starmer in his first 100 days?,2025-02-28,0.998,0.002
Will Trump issue an executive order on March 1?,2025-02-28,0.17,0.83
Will Donald Trump say Pay 5+ times during his presser with Starmer on Feb 27?,2025-02-28,0.315,0.685
Will Donald Trump say Egg during his presser with Starmer on Feb 27?,2025-02-28,0.06,0.94
Will Donald Trump sign 34 or more executive orders in February?,2025-02-28,0.057,0.943
Price of eggs goes up in Trump's first month?,2025-02-28,0.9765,0.0235
Will Trump meet with Volodymyr Zelenskyy in 2025?,2025-02-28,0.997,0.003
Will Donald Trump sign less than 28 executive orders in February?,2025-02-28,0.0035,0.9965
Will Donald Trump say Mineral during his presser with Starmer on Feb 27?,2025-02-28,0.55,0.45
Will Trump remove tariff on Mexico before March?,2025-02-28,0.026,0.974
Will Pete Hegseth be Trump's Defense Secretary?,2025-01-24,0.9355,0.0645
Trump positive favorability on March 1?,2025-01-24,0.335,0.665
Will Mitch McConnell vote to confirm Pete Hegseth as Secretary of Defense?,2025-01-24,0.53,0.47
Will Mike Rogers be Trump's Defense Secretary?,2025-01-24,0.0025,0.9975
Trump positive favorability on February 1?,2025-01-24,0.165,0.835
Pete Hegseth confirmed as Secretary of Defense?,2025-01-24,0.9465,0.0535
Will John Fetterman vote to confirm Pete Hegseth as Secretary of Defense?,2025-01-24,0.48,0.52
Debt ceiling abolished before Trump inauguration?,2025-01-08,0.006,0.994
Trump positive favorability on inauguration day?,2025-01-08,0.785,0.215
Will Bill Clinton attend presidential inauguration?,2025-01-08,0.935,0.065
Will Donald Trump sign 5-9 executive orders in March?,2025-03-11,0.004,0.996
"Will Trump and Elon say ""TikTok"" during their Feb 18 interview?",2025-02-19,0.315,0.685
"Will Trump and Elon say ""China"" 10 or more times during their Feb 18 interview?",2025-02-19,0.115,0.885
Will Trump remove tariff on China before March?,2025-02-19,0.0185,0.9815
Will Trump increase tariffs on China before May?,2025-02-19,0.38,0.62
Will Trump say 'China' 5+ times during the 2025 State of the Union?,2025-02-19,0.315,0.685
Will Trump impose tariffs on Taiwan before March?,2025-02-19,0.0185,0.9815
Will Trump say 'Elon' or 'Musk' during the 2025 State of the Union?,2025-02-19,0.665,0.335
"Will Trump and Elon say ""Billion"" 10 or more times during their Feb 18 interview?",2025-02-19,0.425,0.575
Will Trump Media invest in Solana before March?,2025-02-19,0.037,0.963
"Will Trump and Elon say ""Crypto"" or ""Bitcoin"" during their Feb 18 interview?",2025-02-19,0.2,0.8
"Will Trump and Elon say ""NATO"" during their Feb 18 interview?",2025-02-19,0.74,0.26
Will Trump say 'tariff' 5+ times times during the 2025 State of the Union?,2025-02-19,0.475,0.525
Will Trump Media invest in Ethereum before March?,2025-02-19,0.0525,0.9475
Will Trump remove tariff on Mexico before March?,2025-02-19,0.115,0.885
"Will Trump and Elon say ""AI"" or ""Artificial Intelligence"" during their Feb 18 interview?",2025-02-19,0.62,0.38
"Will Trump and Elon say ""Paper Straw"" during their Feb 18 interview?",2025-02-19,0.23,0.77
Will Trump remove tariff on Canada before March?,2025-02-19,0.125,0.875
Will Trump list the Gulf Cartel as a terrorist organization before April?,2025-02-09,0.355,0.645
Will Trump issue an executive order on Day 11?,2025-02-09,0.0005,0.9995
Will Trump cut Ukraine off from Starlink?,2025-03-16,0.0025,0.9975
Will Trump issue an executive order on March 15?,2025-03-16,0.1,0.9
Will Trump cut Ukraine off from Starlink?,2025-03-09,0.081,0.919
Will Trump issue an executive order on March 9?,2025-03-09,0.125,0.875
Will Trump issue an executive order on March 8?,2025-03-09,0.115,0.885
Trump positive favorability on inauguration day?,2025-01-21,0.29,0.71
Will Trump be Speaker by January 1?,2024-12-31,0.002,0.998
"Will Trump say ""mog"" in 2024?",2024-12-31,0.008,0.992
Will Trump attend Jimmy Carter's state funeral?,2025-01-09,0.992,0.008
Trump sentenced to prison in NY case before inauguration?,2025-01-09,0.013,0.987
Trump's January 10 sentencing pushed back?,2025-01-09,0.12,0.88
Trump nominates RFK Jr. to Cabinet?,2024-10-30,0.38,0.62
Will RFK Jr. debate Biden/Trump?,2024-10-30,0.003,0.997
Trump nominates Elon Musk to Cabinet?,2024-10-30,0.185,0.815
Will Joe Biden endorse Donald Trump?,2024-10-30,0.0115,0.9885
Will Joe Rogan announce he is voting for Trump?,2024-10-30,0.15,0.85
Donald & Melania Trump divorce before election?,2024-10-30,0.01,0.99
Will Donald Trump issue 100 or more executive orders in his first week?,2025-01-25,0.002,0.998
Will Donald Trump issue 75-99 executive orders in his first week?,2025-01-25,0.0055,0.9945
Will Donald Trump issue 25-49 executive orders in his first week?,2025-01-25,0.95,0.05
Will Donald Trump issue 50-74 executive orders in his first week?,2025-01-25,0.042,0.958
Will Mike Rogers be Trump's FBI director?,2025-01-25,0.028,0.972
Will Trump issue 150-199 executive orders in first week?,2025-01-25,0.0045,0.9955
Will Trump issue 100-149 executive orders in first week?,2025-01-25,0.007,0.993
Will Andrew Bailey be Trump's FBI director?,2025-01-25,0.028,0.972
Will Brian Blase be Trump's HHS Secretary?,2025-01-25,0.003,0.997
Will Pete Hegseth be Trump's Defense Secretary?,2025-01-25,0.9655,0.0345
Five Trump Cabinet confirmations in January?,2025-01-25,0.0295,0.9705
Nine Trump Cabinet confirmations in January?,2025-01-25,0.16,0.84
Eight Trump Cabinet confirmations in January?,2025-01-25,0.21,0.79
Three Trump Cabinet confirmations in January?,2025-01-25,0.0015,0.9985
Will RFK Jr. be Trump's HHS Secretary?,2025-01-25,0.859,0.141
Will Mike Pompeo be Trump's Defense Secretary?,2025-01-25,0.0035,0.9965
Four Trump Cabinet confirmations in January?,2025-01-25,0.009,0.991
Will Ken Paxton be Trump's FBI director?,2025-01-25,0.0145,0.9855
Will Christopher Miller be Trump's Defense Secretary?,2025-01-25,0.0025,0.9975
Will Trump issue less than 100 executive orders in first week?,2025-01-25,0.991,0.009
Will Trump issue 200 or more executive orders in first week?,2025-01-25,0.0025,0.9975
Will Robert O'Brien be Trump's Defense Secretary?,2025-01-25,0.003,0.997
Will Mike Rogers be Trump's Defense Secretary?,2025-01-25,0.0025,0.9975
Six Trump Cabinet confirmations in January?,2025-01-25,0.2,0.8
Seven Trump Cabinet confirmations in January?,2025-01-25,0.25,0.75
Will Mike Gallagher be Trump's Defense Secretary?,2025-01-25,0.0025,0.9975
Will Donald Trump win the 2024 US Presidential Election?,2024-10-07,0.5055,0.4945
Trump eligible to vote in the election?,2024-10-07,0.9695,0.0305
Trump-Vance Republican ticket on election day?,2024-10-07,0.9795,0.0205
Trump on ballot in every state?,2024-10-07,0.9745,0.0255
Will Trump drop out of presidential race?,2024-10-07,0.0205,0.9795
Will Trump win Miami?,2024-10-07,0.35,0.65
Will Gavin Newsom win the 2024 US Presidential Election?,2024-10-07,0.0005,0.9995
Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,2024-10-07,0.0015,0.9985
Trump in jail before election day?,2024-10-07,0.0165,0.9835
Will Trump win Florida by 8+ points?,2024-10-07,0.275,0.725
Will Chris Christie win the 2024 US Presidential Election?,2024-10-07,0.0005,0.9995
Trump ineligible to run for President?,2024-10-07,0.0105,0.9895
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-07,0.256,0.744
Donald & Melania Trump divorce before election?,2024-10-07,0.021,0.979
Will Ron DeSantis win the 2024 US Presidential Election?,2024-10-07,0.0005,0.9995
Will Gavin Newsom win the popular vote in the 2024 Presidential Election?,2024-10-07,0.0005,0.9995
Will Trump launch a coin before the election?,2024-10-07,0.31,0.69
Will any other Republican Politician win the 2024 US Presidential Election?,2024-10-07,0.0045,0.9955
Will Trump go on Joe Rogan before election?,2024-10-07,0.25,0.75
Will Trump election interference trial start in September or October?,2024-10-07,0.0115,0.9885
Will any other Democratic Politician win the 2024 US Presidential Election?,2024-10-07,0.0015,0.9985
Trump fires campaign manager?,2024-10-07,0.075,0.925
Will Joe Biden win the 2024 US Presidential Election?,2024-10-07,0.0005,0.9995
Trump blowout victory?,2024-10-07,0.115,0.885
Will Chris Christie win the popular vote in the 2024 Presidential Election?,2024-10-07,0.0005,0.9995
Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,2024-10-07,0.0005,0.9995
Will Trump be Speaker by January 1?,2024-10-07,0.015,0.985
Will AOC win the 2024 US Presidential Election?,2024-10-07,0.0005,0.9995
Will the election be called on Nov 5?,2024-10-07,0.16,0.84
Will RFK Jr. win the popular vote in the 2024 Presidential Election?,2024-10-07,0.0015,0.9985
Trump wins every swing state?,2024-10-07,0.175,0.825
Trump nominates Elon Musk to Cabinet?,2024-10-07,0.125,0.875
"Will Trump say ""taco"" during Univision town hall?",2024-10-17,0.075,0.925
"Will Trump say ""abortion"" during Univision town hall?",2024-10-17,0.64,0.36
"Will Trump say ""tampon"" during Univision town hall?",2024-10-17,0.05,0.95
"Will Trump say ""Aurora"" during Univision town hall?",2024-10-17,0.335,0.665
"Will Trump say ""crypto"" or ""Bitcoin"" during Univision town hall?",2024-10-17,0.08,0.92
"Will Trump say ""Ireland"" 10+ times during his presser with Ireland PM?",2025-03-12,0.33,0.67
"Will Trump say ""Saint Patrick"" during his presser with Ireland PM?",2025-03-12,0.58,0.42
"Will Trump say ""Heritage"" during his presser with Ireland PM?",2025-03-12,0.58,0.42
"Will Trump say ""Biden"" during his presser with Ireland PM?",2025-03-12,0.575,0.425
"Will Trump say ""Letter"" during his presser with Ireland PM?",2025-03-12,0.32,0.68
"Will Trump say ""God"" 2+ times during his presser with Ireland PM?",2025-03-12,0.32,0.68
Trump wins Pennsylvania but loses the Election?,2024-10-29,0.065,0.935
Trump nominates Elon Musk to Cabinet?,2024-10-29,0.18,0.82
Trump nominates Tulsi Gabbard to Cabinet?,2024-10-29,0.38,0.62
Will Joe Biden endorse Donald Trump?,2024-10-29,0.0055,0.9945
Will Trump win 7 swing states?,2024-10-29,0.325,0.675
Will any other Democratic Politician win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Gavin Newsom win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Trump drop out of presidential race?,2024-10-29,0.007,0.993
Will Joe Biden win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Gavin Newsom win the popular vote in the 2024 Presidential Election?,2024-10-29,0.0005,0.9995
Will Donald Trump win the 2024 US Presidential Election?,2024-10-29,0.6595,0.3405
Will Trump win 5 swing states?,2024-10-29,0.145,0.855
Will Trump win 4 swing states?,2024-10-29,0.1,0.9
Trump wins every swing state?,2024-10-29,0.325,0.675
Will RFK Jr. debate Biden/Trump?,2024-10-29,0.003,0.997
Will Trump win 6 swing states?,2024-10-29,0.155,0.845
Will Chris Christie win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-29,0.4045,0.5955
Trump ineligible to run for President?,2024-10-29,0.0055,0.9945
Will any other Republican Politician win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Ron DeSantis win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Chris Christie win the popular vote in the 2024 Presidential Election?,2024-10-29,0.0005,0.9995
Will Trump be Speaker by January 1?,2024-10-29,0.044,0.956
Will Joe Rogan announce he is voting for Trump?,2024-10-29,0.125,0.875
Will Trump win 3 swing states?,2024-10-29,0.1,0.9
Will Pennsylvania be the last state to be called by the AP?,2024-10-29,0.08,0.92
Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,2024-10-29,0.0005,0.9995
Trump eligible to vote in the election?,2024-10-29,0.8725,0.1275
Trump nominates RFK Jr. to Cabinet?,2024-10-29,0.39,0.61
Will Trump win 2 swing states?,2024-10-29,0.085,0.915
Will any other Republican Politician win the popular vote in the 2024 Presidential Election?,2024-10-29,0.0005,0.9995
Will Nate Silver correctly call the Presidential Election?,2024-10-29,0.66,0.34
"Rabois Parlay: Trump wins PA, MI, GA and AZ?",2024-10-29,0.38,0.62
Biden wins the Popular Vote?,2024-10-29,0.0005,0.9995
"Will Trump say ""Ford"" during Michigan rally on October 18?",2024-10-18,0.78,0.22
"Will Trump say ""JD Vance"" during Michigan rally on October 18?",2024-10-18,0.435,0.565
"Will Trump say ""Reagan"" during Michigan rally on October 18?",2024-10-18,0.43,0.57
"Will Trump say ""Tesla"" during Michigan rally on October 18?",2024-10-18,0.58,0.42
"Will Trump say ""border"" 25 or more times during Michigan rally on October 18?",2024-10-18,0.37,0.63
"Will Trump say ""North Carolina"" 2 or more times during Michigan rally on October 18?",2024-10-18,0.64,0.36
"Will Trump say ""weave"" during Michigan rally on October 18?",2024-10-18,0.24,0.76
"Will Trump say ""trans"" during Michigan rally on October 18?",2024-10-18,0.88,0.12
"Will Trump say ""border"" 35 or more times during Michigan rally on October 18?",2024-10-18,0.095,0.905
"Will Trump say ""hurricane"" 2 or more times during Michigan rally on October 18?",2024-10-18,0.425,0.575
Trump-Vance Republican ticket on election day?,2024-10-18,0.967,0.033
"Will Trump say ""American dream"" 3 or more times during Michigan rally on October 18?",2024-10-18,0.625,0.375
"Will Trump say ""insane asylum"" during Michigan rally on October 18?",2024-10-18,0.785,0.215
"Will Trump say ""MAGA"" 4 or more times during Michigan rally on October 18?",2024-10-18,0.44,0.56
"Will Trump say ""crypto"" or ""Bitcoin"" during Michigan rally on October 18?",2024-10-18,0.0435,0.9565
"Will Trump say ""Barack Hussein Obama"" during Michigan rally on October 18?",2024-10-18,0.535,0.465
"Will Trump say ""million"" 10 or more times during Michigan rally on October 18?",2024-10-18,0.675,0.325
"Will Trump say ""Elon"" during Michigan rally on October 18?",2024-10-18,0.91,0.09
"Will Trump say ""tampon"" during Michigan rally on October 18?",2024-10-18,0.12,0.88
"Will Trump say ""China"" 10 or more times during Michigan rally on October 18?",2024-10-18,0.745,0.255
"Will Trump say ""Tren de Aragua"" during Michigan rally on October 18?",2024-10-18,0.505,0.495
Will Donald Trump win the 2024 US Presidential Election?,2024-10-18,0.6185,0.3815
Will Trump win 2 swing states?,2024-10-18,0.105,0.895
Will Trump lead in RCP on Oct 25?,2024-10-18,0.0545,0.9455
Will Trump win no swing states?,2024-10-18,0.105,0.895
Will Trump win Miami?,2024-10-18,0.405,0.595
Will Trump win 3 swing states?,2024-10-18,0.1,0.9
Will Trump win 4 swing states?,2024-10-18,0.085,0.915
Trump positive favorability on March 1?,2025-01-19,0.44,0.56
Trump positive favorability on inauguration day?,2025-01-19,0.135,0.865
Trump positive favorability on February 1?,2025-01-19,0.37,0.63
Will Kamala Harris win the 2024 US Presidential Election?,2024-10-12,0.4455,0.5545
Kamala flips a 2020 Trump state?,2024-10-12,0.38,0.62
Will Nikki Haley win the 2024 US Presidential Election?,2024-10-12,0.0005,0.9995
Will Nikki Haley win the popular vote in the 2024 Presidential Election?,2024-10-12,0.0005,0.9995
Kamala Harris wins the popular vote?,2024-10-12,0.711,0.289
Will Hillary Clinton win the 2024 US Presidential Election?,2024-10-12,0.0005,0.9995
"Will Trump say ""hispanic"" during Arizona rally on October 13?",2024-10-12,0.87,0.13
Will Michelle Obama win the 2024 US Presidential Election?,2024-10-12,0.0015,0.9985
Will Elizabeth Warren win the 2024 US Presidential Election?,2024-10-12,0.0005,0.9995
Will Elizabeth Warren win the popular vote in the 2024 Presidential Election?,2024-10-12,0.0005,0.9995
Will Hillary Clinton win the popular vote in the 2024 Presidential Election?,2024-10-12,0.0015,0.9985
Trump nominates Elon Musk to Cabinet?,2024-11-19,0.07,0.93
RFK Jr. confirmed as Health & Human Services Secretary?,2025-02-13,0.993,0.007
Will RFK Jr. be Trump's HHS Secretary?,2025-02-13,0.983,0.017
Will Bobby Jindal be Trump's HHS Secretary?,2025-02-13,0.0005,0.9995
Will Eric Hargan be Trump's HHS Secretary?,2025-02-13,0.001,0.999
Will Joe Grogan be Trump's HHS Secretary?,2025-02-13,0.0015,0.9985
Lori Chavez-DeRemer confirmed as Labor Secretary?,2025-02-13,0.965,0.035
Will Ben Carson be Trump's HHS Secretary?,2025-02-13,0.0055,0.9945
Will Paul Mango be Trump's HHS Secretary?,2025-02-13,0.002,0.998
Will Brian Blase be Trump's HHS Secretary?,2025-02-13,0.0025,0.9975
Tulsi Gabbard confirmed as Director of National Intelligence?,2025-02-12,0.995,0.005
Will Tulsi Gabbard be Trump’s Director of National Intelligence?,2025-02-12,0.9955,0.0045
Will Joni Ernst vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.994,0.006
Will Susan Collins vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.994,0.006
Will Cynthia Lummis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.9945,0.0055
Will Bill Cassidy vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.9885,0.0115
Will Mitch McConnell vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.134,0.866
Will John Fetterman vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.007,0.993
Will Lisa Murkowski  vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.996,0.004
Will John Curtis vote to confirm Tulsi Gabbard Jr. as Director of National Intelligence?,2025-02-12,0.695,0.305
Will Ezra Cohen-Watnick be Trump’s Director of National Intelligence?,2025-02-12,0.002,0.998
Will Robert O'Brien be Trump’s Director of National Intelligence?,2025-02-12,0.002,0.998
Will Chris Stewart be Trump’s Director of National Intelligence?,2025-02-12,0.001,0.999
Will Stephen Miller be Trump’s Director of National Intelligence?,2025-02-12,0.0015,0.9985
Will Douglas Macgregor be Trump’s Director of National Intelligence?,2025-02-12,0.003,0.997
Bernie Sanders votes to confirm Tulsi Gabbard?,2025-02-12,0.014,0.986
Will Michael Flynn be Trump’s Director of National Intelligence?,2025-02-12,0.0015,0.9985
Will Ric Grenell be Trump’s Director of National Intelligence?,2025-02-12,0.001,0.999
Will Devin Nunes be Trump’s Director of National Intelligence?,2025-02-12,0.001,0.999
Kash Patel confirmed as Director of the FBI?,2025-02-12,0.9675,0.0325
Will Kash Patel be Trump's FBI director?,2025-02-12,0.965,0.035
Will Ken Paxton be Trump's FBI director?,2025-02-12,0.0135,0.9865
Trump-Vance Republican ticket on election day?,2024-10-24,0.984,0.016
Will Trump mention $MAGA before Election?,2024-10-24,0.07,0.93
"Will Trump say ""too big to rig"" 2 or more times during New York rally on October 27?",2024-10-24,0.8,0.2
"Will Trump say ""NYPD"" during New York rally on October 27?",2024-10-24,0.935,0.065
Will Trump be Speaker by January 1?,2024-10-24,0.0155,0.9845
"Will Trump say ""get out and vote"" during Georgia rally on October 23?",2024-10-24,0.84,0.16
"Will Trump say ""COVID"" 2 or more times during New York rally on October 27?",2024-10-24,0.565,0.435
"Will Trump say ""Green New Scam"" 3 or more times during New York rally on October 27?",2024-10-24,0.305,0.695
"Will Trump say ""skibidi"" before the election?",2024-10-24,0.0315,0.9685
Trump fires campaign manager?,2024-10-24,0.016,0.984
"Will Trump say ""New York"" 30 or more times during New York rally on October 27?",2024-10-24,0.54,0.46
"Will Trump say ""World Trade Center"" during New York rally on October 27?",2024-10-24,0.615,0.385
"Will Trump say ""police"" 15 or more times during New York rally on October 27?",2024-10-24,0.525,0.475
Will Trump tweet 9-10 times Dec 6-13?,2024-12-12,0.003,0.997
Will Trump tweet 15-19 times Dec 6-13?,2024-12-12,0.0055,0.9945
"Will Trump say ""MAGA"" 4 or more times during his inauguration speech?",2024-12-12,0.155,0.845
Will Trump tweet 11-14 times Dec 6-13?,2024-12-12,0.0065,0.9935
Will Trump tweet 3-4 times Dec 6-13?,2024-12-12,0.225,0.775
Will Trump tweet 5-6 times Dec 6-13?,2024-12-12,0.035,0.965
Will Trump tweet 20 or more times Dec 6-13?,2024-12-12,0.0035,0.9965
Will Trump tweet less than 3 times Dec 6-13?,2024-12-12,0.755,0.245
Will Donald Trump sign 5-9 executive orders in March?,2025-03-07,0.0065,0.9935
Will Trump issue an executive order on March 5?,2025-03-07,0.03,0.97
Will Trump lower automobile tariffs on Canada/Mexico by next Friday?,2025-03-07,0.955,0.045
Will Trump issue an executive order on March 7?,2025-03-07,0.51,0.49
Will Trump issue an executive order on March 9?,2025-03-07,0.17,0.83
Will Trump issue an executive order on March 8?,2025-03-07,0.21,0.79
"Will Donald Trump say ""Ethereum"" during Crypto Summit on Friday?",2025-03-07,0.63,0.37
"Will Donald Trump say ""ETF"" or ""Exchange Traded Fund"" during Crypto Summit on Friday?",2025-03-07,0.32,0.68
"Will Donald Trump say ""Pump"" during Crypto Summit on Friday?",2025-03-07,0.11,0.89
Will Trump meet with Keir Starmer in his first 100 days?,2025-02-27,0.991,0.009
Will Trump meet with Keir Starmer in 2025?,2025-02-27,0.9975,0.0025
Will Putin meet with Trump in February?,2025-02-27,0.0055,0.9945
Will Trump meet with Volodymyr Zelenskyy in 2025?,2025-02-27,0.994,0.006
Will Trump meet with Zelenskyy before July?,2025-02-27,0.9875,0.0125
Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,2025-02-27,0.9775,0.0225
Will Donald Trump sign 28-29 executive orders in February?,2025-02-27,0.105,0.895
Will Trump meet with Volodymyr Zelenskyy in 2025?,2025-02-28,0.997,0.003
Will Trump meet with Zelenskyy before July?,2025-02-28,0.9865,0.0135
Will Trump meet with Volodymyr Zelenskyy in his first 100 days?,2025-02-28,0.989,0.011
Will Putin meet with Trump in February?,2025-02-28,0.0055,0.9945
Will Trump cut Ukraine off from Starlink?,2025-02-28,0.0395,0.9605
Will Donald Trump say Ukraine 10+ times during his presser with Starmer on Feb 27?,2025-02-28,0.355,0.645
Will Trump sanction Russia before March?,2025-02-28,0.0065,0.9935
"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",2025-03-13,0.235,0.765
"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",2025-03-13,0.25,0.75
Will Trump cut Ukraine off from Starlink?,2025-03-13,0.005,0.995
Russia x Ukraine Ceasefire by Friday?,2025-03-13,0.045,0.955
Trump speaks to Carney by Friday?,2025-03-13,0.2,0.8
"Will Trump say ""Saint Patrick"" during his presser with Ireland PM?",2025-03-12,0.58,0.42
"Will Trump say ""Ireland"" 10+ times during his presser with Ireland PM?",2025-03-12,0.33,0.67
"Will Trump say ""Biden"" during his presser with Ireland PM?",2025-03-12,0.575,0.425
"Will Trump say ""Crypto"" or ""Bitcoin"" during his presser with Ireland PM?",2025-03-12,0.055,0.945
"Will Trump say ""Heritage"" during his presser with Ireland PM?",2025-03-12,0.58,0.42
"Will Trump say ""Israel"" during his presser with Ireland PM?",2025-03-12,0.455,0.545
"Will Trump say ""Tariff"" 5+ times during his presser with Ireland PM?",2025-03-12,0.57,0.43
"Will Trump say ""Saudi Arabia"" during his presser with Ireland PM?",2025-03-12,0.385,0.615
"Will Trump say ""Letter"" during his presser with Ireland PM?",2025-03-12,0.32,0.68
"Will Trump say ""God"" 2+ times during his presser with Ireland PM?",2025-03-12,0.32,0.68
"Will Trump say ""Zelenskyy"" during his presser with Ireland PM?",2025-03-12,0.695,0.305
"Will Trump say ""Tax"" 5+ times during his presser with Ireland PM?",2025-03-12,0.21,0.79
"Will Trump say ""NATO"" 3+ times during his presser with Ireland PM?",2025-03-12,0.255,0.745
"Will Trump say ""Jew"" or ""Jewish"" 3+ times during his presser with Ireland PM?",2025-03-12,0.0705,0.9295
"Will Trump say ""Trans"" during his presser with Ireland PM?",2025-03-12,0.09,0.91
"Will Trump say ""Beautiful"" 3+ times during his presser with Ireland PM?",2025-03-12,0.5,0.5
"Will Trump say ""AI"" or ""Artificial Intelligence"" during his presser with Ireland PM?",2025-03-12,0.17,0.83
"Will Trump say ""Hell"" 3+ times during his presser with Ireland PM?",2025-03-12,0.195,0.805
Will Trump invite the Philadelphia Eagles to the White House?,2025-03-12,0.889,0.111
"Will Trump say ""Ukraine"" 5+ times during his presser with Ireland PM?",2025-03-12,0.57,0.43
Will Bobby Jindal be Trump's HHS Secretary?,2025-02-11,0.002,0.998
Will Trump meet with Narendra Modi in his first 100 days?,2025-02-13,0.9945,0.0055
Will Trump meet with Javier Milei in his first 100 days?,2025-02-13,0.785,0.215
Will Bobby Jindal be Trump's HHS Secretary?,2025-02-07,0.0015,0.9985
Trump positive favorability on March 1?,2025-02-07,0.165,0.835
Will RFK Jr. be Trump's HHS Secretary?,2025-02-07,0.9745,0.0255
Trump positive favorability on March 1?,2025-02-26,0.0115,0.9885
Will Donald Trump be named in Epstein files?,2025-02-26,0.135,0.865
Will Donald Trump sign 34 or more executive orders in February?,2025-02-26,0.04,0.96
Will Donald Trump sign 30-31 executive orders in February?,2025-02-26,0.315,0.685
Will Trump Media invest in $TRUMP before March?,2025-02-26,0.0075,0.9925
Will Trump Media invest in Ethereum before March?,2025-02-26,0.0195,0.9805
Will Donald Trump win the 2024 US Presidential Election?,2024-10-29,0.6595,0.3405
Will any other Democratic Politician win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will any other Republican Politician win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Donald Trump win the popular vote in the 2024 Presidential Election?,2024-10-29,0.4045,0.5955
Trump wins every swing state?,2024-10-29,0.325,0.675
Will Trump win 2 swing states?,2024-10-29,0.085,0.915
Will Joe Biden win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
Will Trump win 4 swing states?,2024-10-29,0.1,0.9
Will Trump win 6 swing states?,2024-10-29,0.155,0.845
Will Trump win no swing states?,2024-10-29,0.075,0.925
Will Trump get more votes than 2020?,2024-10-29,0.855,0.145
Will Trump win 7 swing states?,2024-10-29,0.325,0.675
Trump ineligible to run for President?,2024-10-29,0.0055,0.9945
Will Trump win 5 swing states?,2024-10-29,0.145,0.855
Will either Kamala or Trump win every swing state?,2024-10-29,0.355,0.645
Will Trump drop out of presidential race?,2024-10-29,0.007,0.993
Will Trump win 3 swing states?,2024-10-29,0.1,0.9
Will Joe Biden endorse Donald Trump?,2024-10-29,0.0055,0.9945
Will Trump win another state by the largest margin?,2024-10-29,0.019,0.981
Will any other Republican Politician win the popular vote in the 2024 Presidential Election?,2024-10-29,0.0005,0.9995
Will Kanye West win the 2024 US Presidential Election?,2024-10-29,0.0005,0.9995
